DTP,Director,Enquiries,Lead_Org,Associated_Orgs
Cambridge Social Science Doctoral Training Partnership,Professor Loraine Gelsthorpe,esrcdtp@admin.cam.ac.uk,University of Cambridge ,
Grand Union Doctoral Training Partnership,Professor Alex Betts,granduniondtp@socsci.ox.ac.uk,University of Oxford ,Open University; Brunel University London
The London Interdisciplinary Social Science Doctoral Training Partnership,Professor Magnus Ryner,liss-dtp@kcl.ac.uk,King's College London ,"Queen Mary, University of London; Imperial College London"
LSE Doctoral Training Partnership,Professor Rita Astuti,phdacademy@lse.ac.uk,London School of Economics & Political Science ,
Midlands Graduate School Doctoral Training Partnership,Professor Jon Coaffee,esrcdtp@warwick.ac.uk,University of Warwick ,University of Nottingham; University of Birmingham; Loughborough University; Aston University; University of Leicester
Northern Ireland and North East Doctoral Training Partnership,Professor Deborah Riby,contact.nine@durham.ac.uk,Durham University ,Newcastle University; Queen's University of Belfast; University of Ulster; Northumbria University; Teesside University; University of Sunderland
North West Social Science Doctoral Training Partnership,Professor Gabe Mythen,nwssdtp@liv.ac.uk,University of Liverpool ,The University of Manchester; Lancaster University; Keele University
Scottish Graduate School of Social Science Doctoral Training Partnership,Professor Jamie Pearce,team@sgsss.ac.uk,University of Edinburgh ,University of St Andrews; University of Dundee; Glasgow Caledonian University; Edinburgh Napier University; Heriot-Watt University; Queen Margaret University Edinburgh; University of Aberdeen; University of Stirling; University of Strathclyde; University of Glasgow; SRUC
The South Coast Doctoral Training Partnership,Professor Athina Vlachantoni,scdtp@soton.ac.uk,University of Southampton ,University of Portsmouth; University of Brighton
The South East Network for Social Sciences (SeNSS) Doctoral Training Partnership,Professor Ismene Gizelis ,admin@senss-dtp.ac.uk,University of Essex ,"City University London; University of East Anglia; Goldsmiths College; University of Kent; University of Essex; Roehampton University; Royal Holloway, University of London; University of Surrey; University of Sussex"
South West Doctoral Training Partnership,Professor Rich Harris,swdtp-enquiries@bristol.ac.uk,University of Bristol ,University of Bath; University of Exeter; University of Plymouth; University of the West of England
"UCL, Bloomsbury and East London Doctoral Training Partnership",Professor Li Wei,ubel-dtp@ucl.ac.uk,University College London ,School of Oriental & African Studies; Birkbeck College; London School of Hygiene and Tropical Medicine; University of East London
Wales Doctoral Training Partnership,Professor John Harrington,enquiries@walesdtp.ac.uk,Cardiff University ,Swansea University; Bangor University; Cardiff Metropolitan University; University of Gloucestershire; Aberystwyth University
White Rose Social Sciences Doctoral Training Partnership,Professor Charlotte Burns,enquiries@wrdtc.ac.uk,University of Sheffield ,University of Leeds; University of York; University of Bradford; University of Hull; Manchester Metropolitan University; Sheffield Hallam University
